title,price,location,link
Dell speaker,"7,500","Jaffna, Audio & MP3",/en/ad/dell-speaker-for-sale-jaffna
BlackBerry Classic (Used),"28,000","Colombo, Mobile Phones",/en/ad/blackberry-classic-used-for-sale-colombo-6
Dell Laptop,"50,000","Anuradhapura, Computers & Tablets",/en/ad/dell-laptop-for-sale-anuradhapura-206
Hp Celeron Laptop,"26,000","Gampaha, Computers & Tablets",/en/ad/hp-celeron-lap-for-sale-gampaha
Acer Laptop,"18,500","Colombo, Computers & Tablets",/en/ad/note-book-for-sale-colombo-14
Nokia 1280 (Used),"1,500","Kandy, Mobile Phones",/en/ad/nokia-1280-used-for-sale-kandy-688
Honor X6 (Used),"50,000","Kegalle, Mobile Phones",/en/ad/honor-x6-used-for-sale-kegalle-3
HP i5 3rd gen Probook,"28,500","Colombo, Computers & Tablets",/en/ad/hp-probooki53rd-gen-for-sale-colombo
Apple iPhone 14 Pro Max (Used),"525,000","Colombo, Mobile Phones",/en/ad/apple-iphone-14-pro-max-used-for-sale-colombo-205
Samsung Galaxy S7 (Used),"19,500","Puttalam, Mobile Phones",/en/ad/samsung-galaxy-s7-used-for-sale-puttalam-170
Samsung Galaxy F62 (Used),"45,000","Puttalam, Mobile Phones",/en/ad/samsung-galaxy-f62-7000mah-battery-used-for-sale-puttalam
Xiaomi Redmi Note 11T 8GB RAM 128GB (Used),"53,000","Puttalam, Mobile Phones",/en/ad/xiaomi-redmi-note-11t-8gb-ram-128gb-used-for-sale-puttalam
Apple iPhone 7 (Used),"17,000","Kandy, Mobile Phones",/en/ad/apple-iphone-7-used-for-sale-kandy-5145
Dell Core i3-7th Gen ~ 8GB Ram 15.6 LED SSD HDD,"64,500","Colombo, Computers & Tablets",/en/ad/dell-core-i3-7th-gen-8gb-ram-156-led-ssd-hdd-for-sale-colombo
Oppo A57 (Used),"15,999","Galle, Mobile Phones",/en/ad/oppo-a57-used-for-sale-galle-373
Samsung Galaxy A52 128GB (Used),"55,000","Puttalam, Mobile Phones",/en/ad/samsung-galaxy-a52-128gb-used-for-sale-puttalam-6
Apple iPhone 7 Plus (Used),"30,000","Colombo, Mobile Phones",/en/ad/apple-iphone-7-plus-used-for-sale-colombo-8945
Acer Core i7-7th Gen ~ Nvidia 2GB 8GB Ram SSD NVMe + 1TB,"99,500","Colombo, Computers & Tablets",/en/ad/acer-core-i7-7th-gen-nvidia-2gb-8gb-ram-ssd-nvme-1tb-for-sale-colombo
Apple iPhone 6 (Used),"18,500","Kegalle, Mobile Phones",/en/ad/apple-iphone-6-used-for-sale-kegalle-1094
Air Conditioner,"75,000","Gampaha, Air Conditions & Electrical fittings",/en/ad/air-conditioning-for-sale-gampaha
Haylou Smart Watch,"15,200","Ampara, Mobile Phone Accessories",/en/ad/haylou-solar-plus-rt3-smart-watch-143amoled-display-with-phone-call-for-sale-ampara
DDR3 Kingston 4GB Laptop Ram,"2,000","Polonnaruwa, Computer Accessories",/en/ad/ddr3-kingston-4gb-laptop-ram-for-sale-polonnaruwa
Samsung Galaxy M30 S 6GB /128GB (Used),"38,000","Puttalam, Mobile Phones",/en/ad/samsung-galaxy-m30-s-6gb-128gb-used-for-sale-puttalam
Xiaomi Redmi K20 Pro 6GB 128GB (Used),"39,990","Gampaha, Mobile Phones",/en/ad/xiaomi-redmi-k20-pro-6gb-128gb-used-for-sale-gampaha
Samsung Galaxy A34 8GB/128GB (New),"77,990","Colombo, Mobile Phones",/en/ad/samsung-galaxy-a34-8gb-128gb-new-for-sale-colombo-267
